NationalStationID,Year,Month,Day,Time,SampleID,SampleDepth,FitoZoo,ClasseDim,Abbondanza_CD,file_name
M1T1C,2017.0,5.0,30.0,11:40:00,1705C01T1CSWF_001,0.5,F,NF,2360.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1C,2017.0,5.0,30.0,11:40:00,1705C01T1CSWF_002,0.5,F,MF,1020.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1C,2017.0,5.0,30.0,11:40:00,1705C01T1CPWF_001,25.0,F,NF,820.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1C,2017.0,5.0,30.0,11:40:00,1705C01T1CPWF_002,25.0,F,MF,1680.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
R14001_B2_10KM,2016.0,11.0,14.0,12:05:00,1,0.5,F,NF,23222.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_10KM,2016.0,11.0,14.0,12:05:00,2,0.5,F,MF,18723.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_10KM,2016.0,11.0,14.0,11:55:00,1,30.0,F,NF,18331.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_10KM,2016.0,11.0,14.0,11:55:00,2,30.0,F,MF,21149.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_20KM,2016.0,11.0,14.0,11:05:00,1,0.5,F,NF,1522.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_20KM,2016.0,11.0,14.0,11:05:00,2,0.5,F,MF,9118.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_20KM,2016.0,11.0,14.0,11:20:00,1,30.0,F,NF,494.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
R14001_B2_20KM,2016.0,11.0,14.0,11:20:00,2,30.0,F,MF,3446.0,Modulo_1_20170131095730_ARPA_Emilia-Romagna_Molise.xls
M1FV6,2017.0,11.0,3.0,12:22:00,1,0.5,F,NF,1120.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV6,2017.0,11.0,3.0,12:22:00,2,0.5,F,MF,3880.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV6,2017.0,11.0,3.0,12:22:00,3,25.0,F,NF,280.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV6,2017.0,11.0,3.0,12:22:00,4,25.0,F,MF,2720.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV6,2017.0,11.0,3.0,12:22:00,5,50.0,Z,PZ,344.034521883542,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV6,2017.0,11.0,3.0,12:22:00,6,50.0,Z,MZ,9.354412981727728,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV6,2017.0,11.0,3.0,12:22:00,7,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,8,0.5,F,NF,280.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,9,0.5,F,MF,360.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,10,25.0,F,NF,200.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,11,25.0,F,MF,1640.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,12,50.0,Z,PZ,334.68010890181426,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,13,50.0,Z,MZ,5.196896100959849,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1FV12,2017.0,11.0,3.0,11:42:00,14,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,15,0.5,F,NF,7920.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,16,0.5,F,MF,7120.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,17,25.0,F,NF,2400.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,18,25.0,F,MF,9320.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,19,50.0,Z,PZ,311.81376605759095,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,20,50.0,Z,MZ,12.472550642303638,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN6,2017.0,11.0,16.0,09:50:00,21,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,22,0.5,F,NF,140.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,23,0.5,F,MF,220.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,24,25.0,F,NF,80.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,25,25.0,F,MF,460.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,26,50.0,Z,PZ,251.5297712864567,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,27,50.0,Z,MZ,7.275654541343789,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GN12,2017.0,11.0,16.0,10:29:00,28,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,29,0.5,F,NF,3320.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,30,0.5,F,MF,15840.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,31,25.0,F,NF,3640.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,32,25.0,F,MF,31400.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,33,50.0,Z,PZ,566.4616750046235,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,34,50.0,Z,MZ,10.393792201919698,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS6,2017.0,11.0,21.0,10:54:00,35,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,36,0.5,F,NF,80.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,37,0.5,F,MF,260.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,38,25.0,F,NF,180.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,39,25.0,F,MF,200.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,40,50.0,Z,PZ,260.8841842681844,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,41,50.0,Z,MZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1GS12,2017.0,11.0,21.0,10:02:00,42,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,43,0.5,F,NF,80.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,44,0.5,F,MF,100.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,45,25.0,F,NF,240.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,46,25.0,F,MF,20.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,47,50.0,Z,PZ,283.7505271124078,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,48,50.0,Z,MZ,10.393792201919698,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL6,2017.0,11.0,22.0,10:17:00,49,50.0,Z,GZ,0.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL12,2017.0,11.0,22.0,10:54:00,50,0.5,F,NF,100.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL12,2017.0,11.0,22.0,10:54:00,51,0.5,F,MF,220.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL12,2017.0,11.0,22.0,10:54:00,52,25.0,F,NF,160.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL12,2017.0,11.0,22.0,10:54:00,53,25.0,F,MF,500.0,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
M1CL12,2017.0,11.0,22.0,10:54:00,54,50.0,Z,PZ,178.77322587301882,Modulo_1_20180131163008_ARPA_Liguria_Campania.xls
