Region,id,phyto_dates,nearest_dates
Campania,M1FV12,2016-01-31,2016-01-20
Campania,M1FV12,2016-03-31,2016-03-11
Campania,M1FV12,2016-05-31,2016-05-10
Campania,M1FV12,2016-07-31,2016-07-08
Campania,M1FV12,2016-09-30,2016-09-27
Campania,M1FV12,2016-11-30,2016-11-02
Campania,M1FV12,2017-01-31,2017-01-25
Campania,M1FV12,2017-03-31,2017-03-13
Campania,M1FV12,2017-05-31,2017-05-03
Campania,M1FV12,2017-07-31,2017-07-11
Campania,M1FV12,2017-09-30,2017-09-08
Campania,M1FV12,2017-11-30,2017-11-03
Campania,M1FV3,2015-07-31,2015-07-17
Campania,M1FV3,2015-09-30,2015-09-11
Campania,M1FV3,2015-11-30,2015-11-03
Campania,M1FV3,2016-01-31,2016-01-20
Campania,M1FV3,2016-03-31,2016-03-11
Campania,M1FV3,2016-05-31,2016-05-10
Campania,M1FV3,2016-07-31,2016-07-08
Campania,M1FV3,2016-09-30,2016-09-27
Campania,M1FV3,2016-11-30,2016-11-02
Campania,M1FV3,2017-01-31,2017-01-25
Campania,M1FV3,2017-03-31,2017-03-03
Campania,M1FV3,2017-05-31,2017-05-03
Campania,M1FV3,2017-07-31,2017-07-11
Campania,M1FV3,2017-09-30,2017-09-08
Campania,M1FV3,2017-11-30,2017-11-03
Campania,M1FV6,2015-07-31,2015-07-17
Campania,M1FV6,2015-09-30,2015-09-11
Campania,M1FV6,2015-11-30,2015-11-03
Campania,M1FV6,2016-01-31,2016-01-20
Campania,M1FV6,2016-03-31,2016-03-11
Campania,M1FV6,2016-05-31,2016-05-10
Campania,M1FV6,2016-07-31,2016-07-08
Campania,M1FV6,2016-09-30,2016-09-27
Campania,M1FV6,2016-11-30,2016-11-02
Campania,M1FV6,2017-01-31,2017-01-25
Campania,M1FV6,2017-03-31,2017-03-13
Campania,M1FV6,2017-05-31,2017-05-03
Campania,M1FV6,2017-07-31,2017-07-11
Campania,M1FV6,2017-09-30,2017-09-08
Campania,M1FV6,2017-11-30,2017-11-03
Campania,M1GN12,2015-07-31,2015-07-16
Campania,M1GN12,2015-09-30,2015-09-10
Campania,M1GN12,2015-11-30,2015-11-02
Campania,M1GN12,2016-01-31,2016-01-21
Campania,M1GN12,2016-03-31,2016-03-10
Campania,M1GN12,2016-05-31,2016-05-11
Campania,M1GN12,2016-07-31,2016-07-07
Campania,M1GN12,2016-09-30,2016-09-23
Campania,M1GN12,2016-11-30,2016-11-22
Campania,M1GN12,2017-01-31,2017-01-20
Campania,M1GN12,2017-03-31,2017-03-10
Campania,M1GN12,2017-05-31,2017-05-04
Campania,M1GN12,2017-07-31,2017-07-04
Campania,M1GN12,2017-09-30,2017-09-07
Campania,M1GN12,2017-11-30,2017-11-16
Campania,M1GN3,2015-07-31,2015-07-16
Campania,M1GN3,2015-09-30,2015-09-10
Campania,M1GN3,2015-11-30,2015-11-02
Campania,M1GN3,2016-01-31,2016-01-21
Campania,M1GN3,2016-03-31,2016-03-10
Campania,M1GN3,2016-05-31,2016-05-11
Campania,M1GN3,2016-07-31,2016-07-07
Campania,M1GN3,2016-09-30,2016-09-23
Campania,M1GN3,2016-11-30,2016-11-22
Campania,M1GN3,2017-01-31,2017-01-20
Campania,M1GN3,2017-03-31,2017-03-10
Campania,M1GN3,2017-05-31,2017-05-04
Campania,M1GN3,2017-07-31,2017-07-04
Campania,M1GN3,2017-09-30,2017-09-07
Campania,M1GN3,2017-11-30,2017-11-16
Campania,M1GN6,2015-07-31,2015-07-16
Campania,M1GN6,2015-09-30,2015-09-10
Campania,M1GN6,2015-11-30,2015-11-02
Campania,M1GN6,2016-01-31,2016-01-21
Campania,M1GN6,2016-03-31,2016-03-10
Campania,M1GN6,2016-05-31,2016-05-11
Campania,M1GN6,2016-07-31,2016-07-07
Campania,M1GN6,2016-09-30,2016-09-23
Campania,M1GN6,2016-11-30,2016-11-22
Campania,M1GN6,2017-01-31,2017-01-20
Campania,M1GN6,2017-03-31,2017-03-10
Campania,M1GN6,2017-05-31,2017-05-04
Campania,M1GN6,2017-07-31,2017-07-04
Campania,M1GN6,2017-09-30,2017-09-07
Campania,M1GN6,2017-11-30,2017-11-16
Campania,M1GS12,2015-07-31,2015-07-23
Campania,M1GS12,2015-09-30,2015-09-15
Campania,M1GS12,2015-11-30,2015-11-12
Campania,M1GS12,2016-01-31,2016-01-28
Campania,M1GS12,2016-03-31,2016-03-15
Campania,M1GS12,2016-05-31,2016-05-05
Campania,M1GS12,2016-07-31,2016-07-04
Campania,M1GS12,2016-09-30,2016-09-14
Campania,M1GS12,2016-11-30,2016-11-16
Campania,M1GS12,2017-01-31,2017-01-26
Campania,M1GS12,2017-03-31,2017-03-13
Campania,M1GS12,2017-05-31,2017-05-17
Campania,M1GS12,2017-07-31,2017-07-06
Campania,M1GS12,2017-09-30,2017-09-05
Campania,M1GS12,2017-11-30,2017-11-21
Campania,M1GS3,2015-07-31,2015-07-23
Campania,M1GS3,2015-09-30,2015-09-15
Campania,M1GS3,2015-11-30,2015-11-12
Campania,M1GS3,2016-01-31,2016-01-28
Campania,M1GS3,2016-03-31,2016-03-15
Campania,M1GS3,2016-05-31,2016-05-05
Campania,M1GS3,2016-07-31,2016-07-04
Campania,M1GS3,2016-09-30,2016-09-14
Campania,M1GS3,2016-11-30,2016-11-16
Campania,M1GS3,2017-01-31,2017-01-26
